panel_id,metric_output_id,status,mismatch_fields,actual_ag,paper_ag,actual_acc_cross,paper_acc_cross,actual_d_ag,paper_d_ag,actual_d_acc,paper_d_acc,native_state,paper_panel_state
d1_a,f1,matched,,0.36071038210306483,0.36071038210306483,0.6182552083333331,0.6182552083333331,-0.222798037055835,-0.222798037055835,-0.1507291666666669,-0.1507291666666669,complete,complete
d1_a,artifact_peak_ratio,matched,,0.35679836757739763,0.35679836757739763,0.613671875,0.613671875,-0.2188860225301678,-0.2188860225301678,-0.15531250000000008,-0.15531250000000008,complete,complete
d1_a,missing_peak_ratio,matched,,0.3544911724417275,0.3544911724417275,0.6195052083333333,0.6195052083333333,-0.21657882739449769,-0.21657882739449769,-0.14947916666666672,-0.14947916666666672,complete,complete
d4_a,mse,matched,,0.24243395478000976,0.24243395478000976,0.8901334635416667,0.8901334635416667,,,,,complete,complete
d4_b,mse,matched,,0.2758589535995071,0.2758589535995071,0.6319694010416667,0.6319694010416667,,,,,complete,complete
d4_a,rmse,matched,,0.24215878274649494,0.24215878274649494,0.8906477864583332,0.8906477864583332,0.00027517203351482,0.00027517203351482,0.000514322916666532,0.000514322916666532,complete,complete
d4_b,rmse,matched,,0.2759150033045257,0.2759150033045257,0.6322395833333334,0.6322395833333334,-5.6049705018601514e-05,-5.6049705018601514e-05,0.000270182291666754,0.000270182291666754,complete,complete
d4_a,mae,matched,,0.23611724261473271,0.23611724261473271,0.8857812500000001,0.8857812500000001,0.006316712165277044,0.006316712165277044,-0.004352213541666594,-0.004352213541666594,complete,complete
d4_b,mae,matched,,0.28106582112532347,0.28106582112532347,0.6211263020833333,0.6211263020833333,-0.005206867525816394,-0.005206867525816394,-0.010843098958333353,-0.010843098958333353,complete,complete
d4_a,sam,matched,,0.23498543815856776,0.23498543815856776,0.8904036458333333,0.8904036458333333,0.007448516621441997,0.007448516621441997,0.000270182291666643,0.000270182291666643,complete,complete
d4_b,sam,matched,,0.27023948455963964,0.27023948455963964,0.6317643229166666,0.6317643229166666,0.005619469039867431,0.005619469039867431,-0.00020507812500003553,-0.00020507812500003553,complete,complete
d4_a,pearson_r,matched,,0.21686280716579553,0.21686280716579553,0.8902018229166667,0.8902018229166667,0.025571147614214224,0.025571147614214224,6.835937500004885e-05,6.835937500004885e-05,complete,complete
d4_b,pearson_r,matched,,0.2706288753265359,0.2706288753265359,0.6317057291666667,0.6317057291666667,0.0052300782729711726,0.0052300782729711726,-0.00026367187499998224,-0.00026367187499998224,complete,complete
d4_a,nmse,matched,,0.1786897200580602,0.1786897200580602,0.8900976562500001,0.8900976562500001,0.06374423472194957,0.06374423472194957,-3.580729166652308e-05,-3.580729166652308e-05,complete,complete
d4_b,nmse,matched,,0.25840030392908286,0.25840030392908286,0.63212890625,0.63212890625,0.01745864967042421,0.01745864967042421,0.0001595052083332993,0.0001595052083332993,complete,complete
d4_a,wasserstein_1_cm1,matched,,0.22953527690634212,0.22953527690634212,0.8787174479166667,0.8787174479166667,0.012898677873667636,0.012898677873667636,-0.011416015624999942,-0.011416015624999942,complete,complete
d4_b,wasserstein_1_cm1,matched,,0.35661203723740115,0.35661203723740115,0.51375,0.51375,-0.08075308363789407,-0.08075308363789407,-0.11821940104166662,-0.11821940104166662,complete,complete
d4_a,is_like_structure_to_noise,matched,,0.254571278903147,0.254571278903147,0.3278515625,0.3278515625,-0.012137324123137255,-0.012137324123137255,-0.5622819010416666,-0.5622819010416666,complete,complete
d4_b,is_like_structure_to_noise,matched,,0.21432251595202145,0.21432251595202145,0.66087890625,0.66087890625,0.06153643764748562,0.06153643764748562,0.028909505208333353,0.028909505208333353,complete,complete
d4_a,precision,matched,,0.5568315765862667,0.5568315765862667,0.6716178385416666,0.6716178385416666,-0.31439762180625697,-0.31439762180625697,-0.2185156250000001,-0.2185156250000001,complete,complete
