panel_id,endpoint_id,protocol_id,family,alpha,scope,signed_mean,positive_mean,negative_mean,absolute_mean,signed_mean_lower,signed_mean_upper,positive_mean_lower,positive_mean_upper,negative_mean_lower,negative_mean_upper,absolute_mean_lower,absolute_mean_upper,positive_absolute_share,negative_absolute_share,zero_denominator_state
d4_a,d4,a,p10,integrated_equal_alpha,integrated,19.9480200078336,19.9480200078336,0.0,19.9480200078336,18.99228186540965,20.910909405596826,18.99228186540965,20.910909405596826,0.0,0.0,18.99228186540965,20.910909405596826,1.0,0.0,complete
d4_a,d4,a,p11,integrated_equal_alpha,integrated,0.0013440463797569852,0.0025194702962374775,0.0011754239164804925,0.0036948942127179706,0.0006565665821322415,0.0020122960436891133,0.00218893219737108,0.002902892029122885,0.000705024887083422,0.0017448861680512129,0.0031540616677510386,0.004340183770745112,0.6818788715426174,0.31812112845738244,complete
d4_a,d4,a,p12,integrated_equal_alpha,integrated,-0.000814610800653235,0.00029678604405640956,0.0011113968447096444,0.001408182888766054,-0.0012560100297530313,-0.00043849152059173736,0.00010606544375541168,0.0006254341777777526,0.0007706337855826988,0.001543918673761391,0.000921756690428308,0.0020213915464315766,0.2107581667296595,0.7892418332703405,complete
d4_b,d4,b,p08,integrated_equal_alpha,integrated,-0.0036140886276580823,0.00047021211048866007,0.004084300738146743,0.004554512848635403,-0.005331626774497194,-0.002088395443854023,7.636061450787054e-05,0.0012054877046211096,0.002727600781555837,0.005714136433698561,0.0030079229767224092,0.00637666889223707,0.10324092303956114,0.8967590769604389,complete
d4_b,d4,b,p09,integrated_equal_alpha,integrated,0.0732719151230743,0.07742158096909528,0.004149665846020997,0.08157124681511628,0.06557564428378031,0.0804252409538971,0.07264667832732274,0.08241579368489314,0.0004257147670105609,0.009419191369351172,0.07598523936394012,0.0875062937458721,0.9491283263644805,0.0508716736355194,complete
d4_b,d4,b,p10,integrated_equal_alpha,integrated,0.06905392339763826,0.07248082822031066,0.003426904822672395,0.07590773304298305,0.06216086444856887,0.07523009238711534,0.06803727971172761,0.07700612134562711,0.0003385970502372813,0.00802411968958757,0.07058060344635231,0.08145762985763366,0.9548543384804826,0.04514566151951734,complete
d4_b,d4,b,p11,integrated_equal_alpha,integrated,-0.0005090437450817042,0.0006170920447171042,0.0011261357897988087,0.0017432278345159127,-0.0015329241252032336,0.00030461966642849264,0.0003185406571194537,0.0010354562745113365,0.00044469285816532803,0.0020996055991015523,0.0009553489592664644,0.002783740463937358,0.35399391433447835,0.6460060856655218,complete
d4_b,d4,b,p12,integrated_equal_alpha,integrated,-0.00047446930707186564,0.0005051902263915348,0.0009796595334634005,0.0014848497598549356,-0.0014000789389648327,0.0002386283566328992,0.0002724754288178459,0.000838294410647365,0.00035123511769897354,0.0018673325665448136,0.0007856219848593473,0.0024165409721997213,0.34022986031993574,0.6597701396800641,complete
d5_a,d5,a,p08,integrated_equal_alpha,integrated,0.0831945304756428,0.10419042609984239,0.020995895624199592,0.12518632172404198,0.069767039828645,0.0975910401535057,0.09212309543532012,0.11672618263201963,0.01669051586211553,0.025608054719081702,0.11323699889934058,0.13749169251371893,0.8322828298247912,0.16771717017520885,complete
d5_a,d5,a,p09,integrated_equal_alpha,integrated,0.016569775875943278,0.026263180448202476,0.009693404572259198,0.03595658502046167,0.009894083000842362,0.023266913052327417,0.02077462895951332,0.03219194344263177,0.007121129349928909,0.012452866720487862,0.03032766990693064,0.04190589874923575,0.7304136483833765,0.2695863516166235,complete
