finding_type,panel_id,analysis_id,outcome,point_effect,lower_95,upper_95,holm_adjusted_p,status,note
panel_effect,d4_b,native_no_axis,OC,-0.343088107638889,-0.3535810004340278,-0.33120524088541664,0.0006599934000659994,complete,positive favors W1; intervals are paired cluster-bootstrap 95%
panel_effect,d4_b,common_grid_all5,AG,-0.07709908316883213,-0.10259608660084564,-0.05887299583336512,0.0006599934000659994,complete,positive favors W1; intervals are paired cluster-bootstrap 95%
panel_effect,d4_b,common_grid_all5,OC,-0.11126302083333339,-0.11466813151041669,-0.10743473307291665,0.0006599934000659994,complete,positive favors W1; intervals are paired cluster-bootstrap 95%
panel_effect,d4_b,common_grid_no_axis,AG,-0.0933019575281081,-0.13347204517446895,-0.06705292489847059,0.0006599934000659994,complete,positive favors W1; intervals are paired cluster-bootstrap 95%
panel_effect,d4_b,common_grid_no_axis,OC,-0.36881510416666663,-0.3797309027777777,-0.3564870876736111,0.0006599934000659994,complete,positive favors W1; intervals are paired cluster-bootstrap 95%
panel_effect,d5_a,native_all5,AG,0.005123125157141164,0.0010148301885659437,0.009024120025713482,,complete,positive favors W1; intervals are paired cluster-bootstrap 95%
panel_effect,d5_a,native_all5,OC,0.0060618575624084015,0.0043710134453010295,0.0076762401339941265,,complete,positive favors W1; intervals are paired cluster-bootstrap 95%
panel_effect,d5_a,native_no_axis,AG,0.0055328994015393825,0.0010184055164742943,0.009787380721717837,0.27359726402735973,complete,positive favors W1; intervals are paired cluster-bootstrap 95%
panel_effect,d5_a,native_no_axis,OC,0.018286527165932376,0.01329128808737151,0.02310891994003916,0.0006599934000659994,complete,positive favors W1; intervals are paired cluster-bootstrap 95%
unavailable,d5_a,common_grid_all5,AG_and_OC,,,,,unavailable,D5 P08 zero positive mass: paired AG/OC planned slots retained
unavailable,d5_a,common_grid_no_axis,AG_and_OC,,,,,unavailable,D5 P08 zero positive mass: paired AG/OC planned slots retained
panel_effect,d5_b,native_all5,AG,-0.005843929312280496,-0.010045656618348352,-0.0032590606783289905,,complete,positive favors W1; intervals are paired cluster-bootstrap 95%
panel_effect,d5_b,native_all5,OC,-0.0012573421439061594,-0.002672052817547722,0.0001562500000000025,,complete,positive favors W1; intervals are paired cluster-bootstrap 95%
panel_effect,d5_b,native_no_axis,AG,-0.0062801902942568755,-0.01072276623795269,-0.003484502035110929,0.011999880001199987,complete,positive favors W1; intervals are paired cluster-bootstrap 95%
panel_effect,d5_b,native_no_axis,OC,-0.003908162016642125,-0.008554553658835047,0.0008186299253548664,1.0,complete,positive favors W1; intervals are paired cluster-bootstrap 95%
unavailable,d5_b,common_grid_all5,AG_and_OC,,,,,unavailable,D5 P08 zero positive mass: paired AG/OC planned slots retained
unavailable,d5_b,common_grid_no_axis,AG_and_OC,,,,,unavailable,D5 P08 zero positive mass: paired AG/OC planned slots retained
