panel_id,endpoint_id,protocol_id,analysis_id,representation,perturbation_scope,metric_output_id,ag_state,oc_state,ag,oc,ag_sst,ag_sse_pooled,ag_sse_separate,ag_r2_pooled,ag_r2_separate,delta_ag,delta_oc,cluster_count,condition_count,historical_ag_lower,historical_ag_upper,historical_oc_lower,historical_oc_upper,historical_raw_p_ag,historical_raw_p_oc,bootstrap_ag_lower,bootstrap_ag_upper,bootstrap_oc_lower,bootstrap_oc_upper,bootstrap_delta_ag_lower,bootstrap_delta_ag_upper,bootstrap_delta_oc_lower,bootstrap_delta_oc_upper,raw_p_ag,raw_p_oc,p_for_adjustment_ag,p_for_adjustment_oc,adjusted_p_ag,adjusted_p_oc,family_id_ag,family_id_oc,family_size_ag,family_size_oc,holm_rank_ag,holm_rank_oc,failed_sst_draw_count
d4_b,d4,b,common_grid_no_axis,common_grid,no_axis,artifact_peak_ratio,complete,complete,0.06481181035119195,0.8479166666666667,26.45776461465777,17.153625812709784,15.438850190188107,0.35166004904259496,0.41647185939378695,0.2642488276179117,0.22447916666666667,240,24,,,,,,,0.043594321332102365,0.09685368520486191,0.836609157986111,0.857878146701389,0.1702075729869223,0.38783424376861525,0.21408311631944443,0.23433213975694447,9.99990000099999e-06,9.99990000099999e-06,9.99990000099999e-06,9.99990000099999e-06,0.007259927400725993,0.007259927400725993,other_metrics_secondary_726,other_metrics_secondary_726,726,726,241,242,0
d4_b,d4,b,common_grid_no_axis,common_grid,no_axis,missing_peak_ratio,complete,complete,0.07326764987135972,0.8468967013888888,26.45776461465777,17.025235605757832,15.086737371592235,0.35651269660454443,0.42978034647590424,0.25579298809774387,0.22345920138888886,240,24,,,,,,,0.04971789976902669,0.10872668341689035,0.8355425347222223,0.8568798828125,0.163879830671595,0.3759322083658249,0.21304036458333334,0.23337727864583335,9.99990000099999e-06,9.99990000099999e-06,9.99990000099999e-06,9.99990000099999e-06,0.007259927400725993,0.007259927400725993,other_metrics_secondary_726,other_metrics_secondary_726,726,726,248,249,0
d5_a,d5,a,native_all5,native,all5,mse,complete,complete,0.02589084818240907,0.5637183370044052,534.8950013939356,510.0064309989434,496.15754572432354,0.04652982422743257,0.07242067240984174,0.0,0.0,681,40,0.020587990947390642,0.034059911814694456,0.5544990420796623,0.5721129026707047,,,0.020217150144442392,0.03419674383787762,0.5550281926853892,0.5729352514684287,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0
d5_a,d5,a,native_all5,native,all5,rmse,complete,complete,0.025994714272215894,0.5638594438325991,534.8950013939356,510.2387838619712,496.33434113509935,0.046095434557642645,0.07209014882985854,-0.00010386608980682277,0.0001411068281939043,681,40,0.02060145195389988,0.034205643568316756,0.5545983331038914,0.5723023357195302,0.6839331606683933,0.22575774242257576,0.020316267951879,0.034233282059616746,0.5551055146383995,0.5730188257158592,-0.0004443293938498939,0.0004513654530596118,-7.345011930983478e-05,0.0003683117657856128,,,,,,,,,,,,,0
d5_a,d5,a,native_all5,native,all5,mae,complete,complete,0.02593172919089978,0.5648930800293686,534.8950013939356,510.233695914603,496.3629435928895,0.04610494660646525,0.07203667579736506,-4.088100849070769e-05,0.0011747430249633428,681,40,0.02062147645999067,0.034060316906224374,0.5556472845539647,0.5735897060848018,0.8947710522894771,9.99990000099999e-06,0.020384733147763366,0.03426807211686251,0.5560041242198973,0.574267735866373,-0.0005672384442728103,0.0005336704998982651,0.0006755345998531596,0.0016554813693098417,,,,,,,,,,,,,0
d5_a,d5,a,native_all5,native,all5,sam,complete,complete,0.03151934489778361,0.5632158590308372,534.8950013939356,495.64875091661685,478.78921088358095,0.0733718774246217,0.10489122232240533,-0.005628496715374538,-0.0005024779735680607,681,40,0.02536996027002199,0.04186258318345418,0.5541998210352423,0.5715080075256975,0.00043999560004399956,0.05472945270547294,0.025300615006213313,0.041658188776244345,0.5545627409140969,0.5722173848201175,-0.00943685754772429,-0.0033007440751796923,-0.001026867657856094,-1.7150789280469477e-05,,,,,,,,,,,,,0
d5_a,d5,a,native_all5,native,all5,pearson_r,complete,complete,0.0341109820249643,0.5634521842878121,534.8950013939356,501.22929050283443,482.98349672504264,0.06293891474657332,0.09704989677153764,-0.008220133842555228,-0.00026615271659313766,681,40,0.027008323673927945,0.04409206018531889,0.5543705545613069,0.5719121982837738,9.99990000099999e-06,0.4400655993440066,0.026698627642299688,0.04381846371205881,0.5548348878028635,0.5723810630047722,-0.011234941572902632,-0.005021346578683929,-0.0009592109489720987,0.0003741051762114531,,,,,,,,,,,,,0
d5_a,d5,a,native_all5,native,all5,nmse,complete,complete,0.027705971224591307,0.564069383259912,534.8950013939356,495.4814694930436,480.6616839762455,0.07368461436016482,0.10139058558475611,-0.0018151230421822352,0.0003510462555067484,681,40,0.021197584779866194,0.03578931685968796,0.5549178884453011,0.5724959274045521,0.11740882591174089,0.11344886551134489,0.021033891342389668,0.03554828853319614,0.555274068465492,0.573233984948605,-0.0035053681446447775,0.0011778880004461036,-8.604074889867477e-05,0.0007904276798825283,,,,,,,,,,,,,0
d5_a,d5,a,native_all5,native,all5,wasserstein_1_cm1,complete,complete,0.020767723025267908,0.5697801945668136,534.8950013939356,491.3017415842258,480.19319034767625,0.08149872348050702,0.10226644650577488,0.005123125157141164,0.0060618575624084015,681,40,0.016444862873379592,0.028071553801587795,0.559765395558003,0.5791611887389868,0.01878981210187898,9.99990000099999e-06,0.01633279908723168,0.027755666578157697,0.5602459331406019,0.5796177209526433,0.0010148301885659437,0.009024120025713482,0.0043710134453010295,0.0076762401339941265,,,,,,,,,,,,,0
d5_a,d5,a,native_all5,native,all5,is_like_structure_to_noise,complete,complete,0.050827911400603616,0.5094713656387665,534.8950013939356,525.1547787852974,497.96718304582066,0.018209597366315222,0.06903750876691883,-0.024937063218194545,-0.05424697136563872,681,40,0.04193575007071089,0.06580661503067016,0.5038279815987519,0.5152510382250367,9.99990000099999e-06,9.99990000099999e-06,0.0421680858305272,0.0660660079300053,0.5033683805983847,0.5159109134085902,-0.034298862596244026,-0.02005633270031454,-0.062284353203010276,-0.04616238183737151,,,,,,,,,,,,,0
