panel_id,endpoint_id,protocol_id,representation,metric_output_id,left_family,right_family,state,pair_count_per_cluster,pair_count_total,oc,strict_agreement_count,strict_incorrect_count,metric_tie_count,downstream_tie_count,double_tie_count,bootstrap_lower,bootstrap_upper
d1_a,d1,a,native,missing_peak_ratio,p10,p12,complete,64,1920,0.89921875,1718,185,0,17,0,0.8801953125,0.91484375
d1_a,d1,a,native,missing_peak_ratio,p11,p12,complete,64,1920,0.59375,856,496,433,88,47,0.5281184895833333,0.6505338541666665
d1_a,d1,a,common_grid,mse,p08,p09,complete,64,1920,0.6026041666666667,1147,753,0,20,0,0.5747330729166666,0.63255859375
d1_a,d1,a,common_grid,mse,p08,p10,complete,64,1920,0.8197916666666667,1567,339,0,14,0,0.7765625,0.85677734375
d1_a,d1,a,common_grid,mse,p08,p11,complete,64,1920,0.7528645833333333,1433,462,0,25,0,0.7046809895833334,0.79765625
d1_a,d1,a,common_grid,mse,p08,p12,complete,64,1920,0.8177083333333334,1557,337,0,26,0,0.7643098958333333,0.8541666666666666
d1_a,d1,a,common_grid,mse,p09,p10,complete,64,1920,0.5890625,1127,785,0,8,0,0.5666666666666667,0.6145833333333334
d1_a,d1,a,common_grid,mse,p09,p11,complete,64,1920,0.7419270833333333,1404,475,0,41,0,0.6911458333333333,0.78646484375
d1_a,d1,a,common_grid,mse,p09,p12,complete,64,1920,0.8341145833333333,1581,298,0,41,0,0.7901041666666667,0.8682356770833334
d1_a,d1,a,common_grid,mse,p10,p11,complete,64,1920,0.7736979166666667,1475,424,0,21,0,0.7406184895833333,0.80677734375
d1_a,d1,a,common_grid,mse,p10,p12,complete,64,1920,0.8497395833333333,1623,280,0,17,0,0.8361979166666667,0.8643229166666667
d1_a,d1,a,common_grid,mse,p11,p12,complete,64,1920,0.6747395833333333,1228,557,0,135,0,0.5393229166666667,0.8013346354166665
d1_a,d1,a,common_grid,rmse,p08,p09,complete,64,1920,0.6026041666666667,1147,753,0,20,0,0.5747330729166666,0.63255859375
