panel_id,endpoint_id,protocol_id,family,alpha,scope,signed_mean,positive_mean,negative_mean,absolute_mean,signed_mean_lower,signed_mean_upper,positive_mean_lower,positive_mean_upper,negative_mean_lower,negative_mean_upper,absolute_mean_lower,absolute_mean_upper,positive_absolute_share,negative_absolute_share,zero_denominator_state
d2_20_a,d2_20,a,p11,0.65,alpha,0.08113333333333335,0.11200000000000002,0.030866666666666657,0.14286666666666673,0.019863333333333358,0.14461333333333332,0.068995,0.1620733333333333,0.007264999999999992,0.0601383333333333,0.1024,0.1874016666666667,0.7839477368175453,0.21605226318245435,complete
d2_20_a,d2_20,a,p11,0.8,alpha,0.1124,0.1456666666666667,0.033266666666666674,0.17893333333333328,0.03779999999999999,0.188735,0.09113333333333333,0.209405,0.007466666666666666,0.06513666666666663,0.1293966666666667,0.23347499999999996,0.8140834575260809,0.18591654247391962,complete
d2_20_a,d2_20,a,p11,integrated_equal_alpha,integrated,0.037933333333333354,0.05861666666666668,0.020683333333333328,0.07930000000000001,0.0032989583333333456,0.07295645833333331,0.03652437500000001,0.08485875000000001,0.005799374999999997,0.03911833333333332,0.05769979166666667,0.10177708333333332,0.7391761244220261,0.2608238755779738,complete
d2_20_a,d2_20,a,p12,0.05,alpha,-0.0009999999999999879,0.0018000000000000294,0.0028000000000000173,0.004600000000000047,-0.003466666666666662,0.00126666666666669,0.0008666666666666878,0.0029333333333333767,0.0011333333333333492,0.004733333333333352,0.003000000000000039,0.0064000000000000445,0.39130434782608936,0.6086956521739106,complete
d2_20_a,d2_20,a,p12,0.1,alpha,-0.0011999999999999732,0.003466666666666703,0.004666666666666677,0.00813333333333338,-0.005799999999999977,0.003133333333333379,0.0016000000000000161,0.005933333333333394,0.0017333333333333385,0.008201666666666666,0.005133333333333371,0.011600000000000058,0.42622950819672334,0.5737704918032767,complete
d2_20_a,d2_20,a,p12,0.2,alpha,-0.0008666666666666563,0.006133333333333352,0.007000000000000008,0.01313333333333336,-0.008133333333333324,0.006068333333333319,0.003200000000000025,0.009733333333333365,0.002398333333333334,0.012866666666666662,0.008466666666666687,0.018735000000000026,0.46700507614213244,0.5329949238578675,complete
d2_20_a,d2_20,a,p12,0.3,alpha,0.0001333333333333316,0.010600000000000014,0.010466666666666681,0.021066666666666692,-0.01093333333333335,0.010466666666666664,0.005998333333333324,0.01600166666666668,0.0037333333333333584,0.018800000000000018,0.014200000000000042,0.02893333333333338,0.5031645569620253,0.4968354430379748,complete
d2_20_a,d2_20,a,p12,0.4,alpha,0.0036666666666666766,0.01553333333333335,0.011866666666666675,0.02740000000000003,-0.010199999999999983,0.01660166666666669,0.009399999999999997,0.022866666666666688,0.003930000000000012,0.021866666666666677,0.01900000000000002,0.03673333333333335,0.5669099756690998,0.4330900243309001,complete
d2_20_a,d2_20,a,p12,0.5,alpha,0.006933333333333344,0.02080000000000002,0.013866666666666673,0.03466666666666669,-0.010401666666666646,0.023268333333333353,0.012666666666666666,0.030135000000000012,0.004065000000000011,0.026199999999999998,0.02400000000000002,0.04633333333333334,0.6000000000000001,0.39999999999999986,complete
d2_20_a,d2_20,a,p12,0.65,alpha,0.014600000000000005,0.032333333333333346,0.017733333333333337,0.050066666666666676,-0.008801666666666685,0.037201666666666675,0.02013166666666668,0.04606833333333334,0.005133333333333341,0.033468333333333336,0.03580000000000001,0.06473333333333332,0.6458055925432757,0.35419440745672437,complete
d2_20_a,d2_20,a,p12,0.8,alpha,0.021466666666666676,0.042266666666666675,0.020800000000000003,0.06306666666666669,-0.008868333333333324,0.04987166666666667,0.02639833333333332,0.06006833333333334,0.005266666666666668,0.04100166666666666,0.04440000000000004,0.08253333333333332,0.6701902748414376,0.3298097251585623,complete
d2_20_a,d2_20,a,p12,integrated_equal_alpha,integrated,0.005466666666666677,0.016616666666666686,0.01115000000000001,0.027766666666666696,-0.00805020833333331,0.018393541666666683,0.010216041666666687,0.02390958333333336,0.0033906250000000086,0.02061729166666668,0.019698750000000036,0.03667083333333337,0.5984393757503002,0.40156062424969985,complete
d2_20_b,d2_20,b,p08,0.05,alpha,0.016333333333333342,0.019200000000000012,0.002866666666666671,0.022066666666666682,0.006398333333333292,0.02806666666666666,0.010333333333333361,0.030000000000000013,0.0010666666666666713,0.005001666666666672,0.013733333333333368,0.032068333333333365,0.8700906344410876,0.1299093655589125,complete
d2_20_b,d2_20,b,p08,0.1,alpha,0.02513333333333335,0.027133333333333353,0.0020000000000000018,0.029133333333333355,0.013731666666666682,0.03806666666666668,0.016733333333333333,0.03920333333333335,0.0002666666666666557,0.004800000000000008,0.019200000000000026,0.04067000000000002,0.931350114416476,0.06864988558352404,complete
d2_20_b,d2_20,b,p08,0.2,alpha,0.025666666666666702,0.02806666666666669,0.002399999999999991,0.030466666666666684,0.014666666666666677,0.03800333333333336,0.018865000000000007,0.03886666666666672,0.00013333333333333345,0.005999999999999983,0.021266666666666666,0.04053333333333336,0.9212253829321666,0.07877461706783337,complete
d2_20_b,d2_20,b,p08,0.3,alpha,0.024800000000000023,0.027333333333333355,0.00253333333333333,0.029866666666666684,0.013665000000000016,0.03727499999999996,0.01806500000000001,0.03833333333333336,0.0,0.0065999999999999965,0.02066499999999998,0.040066666666666695,0.9151785714285716,0.08482142857142842,complete
d2_20_b,d2_20,b,p08,0.4,alpha,0.025000000000000026,0.027600000000000027,0.0026000000000000025,0.03020000000000003,0.014131666666666683,0.03746833333333335,0.018200000000000032,0.03866666666666669,6.666666666667042e-05,0.006401666666666667,0.021133333333333372,0.04040166666666669,0.9139072847682119,0.08609271523178808,complete
d2_20_b,d2_20,b,p08,0.5,alpha,0.024666666666666687,0.027266666666666682,0.002599999999999995,0.029866666666666677,0.013863333333333339,0.037066666666666685,0.017931666666666672,0.038333333333333344,0.00013333333333333345,0.0063999999999999925,0.020931666666666644,0.040068333333333365,0.9129464285714288,0.08705357142857123,complete
