panel_id,endpoint_id,protocol_id,representation,perturbation_scope,metric_output_id,family,state,sst,pooled_sse,separate_sse,pooled_r2,separate_r2,d_p,zero_metric_harm_proportion,mean_downstream,pooled_prediction_at_zero,n,expected_constant_sse,actual_raw_residual_improvement,identity_error
d1_a,d1,a,native,all5,wasserstein_1_cm1,p10,complete,88.65191248,11.475874732446968,10.741195307077524,0.5420881487677518,0.581229019600293,0.00828723718211032,0.0,,,,,,
d1_a,d1,a,native,all5,wasserstein_1_cm1,p11,complete,88.65191248,8.128388594373732,7.621104703726705,0.5420881487677518,0.581229019600293,0.005722199064362775,0.0,,,,,,
d1_a,d1,a,native,all5,wasserstein_1_cm1,p12,complete,88.65191248,1.198657658965768,1.1004748060606062,0.5420881487677518,0.581229019600293,0.001107509698984915,0.0,,,,,,
d1_a,d1,a,native,all5,is_like_structure_to_noise,p08,complete,88.65191248,29.164026659545513,21.717201600000003,0.0005219844929068573,0.38081804288132914,0.08400072656329353,0.0,,,,,,
d1_a,d1,a,native,all5,is_like_structure_to_noise,p09,complete,88.65191248,7.4686792601171845,4.8211676550128475,0.0005219844929068573,0.38081804288132914,0.029864122849031817,0.0,,,,,,
d1_a,d1,a,native,all5,is_like_structure_to_noise,p10,complete,88.65191248,28.38633164340116,17.903837183333334,0.0005219844929068573,0.38081804288132914,0.11824329748591372,0.0,,,,,,
d1_a,d1,a,native,all5,is_like_structure_to_noise,p11,complete,88.65191248,13.048754215101074,9.173154250000001,0.0005219844929068573,0.38081804288132914,0.043717048585673914,1.0,,,,,,
d1_a,d1,a,native,all5,is_like_structure_to_noise,p12,complete,88.65191248,10.53784577825397,1.2763039833333334,0.0005219844929068573,0.38081804288132914,0.10447086290450931,1.0,,,,,,
d1_a,d1,a,native,all5,precision,p08,complete,88.65191248,22.027998320229777,15.937663008218381,0.21553474252872606,0.5723331101061238,0.06869942386618429,0.0,,,,,,
d1_a,d1,a,native,all5,precision,p09,complete,88.65191248,11.947025659288654,2.79642658594433,0.21553474252872606,0.5723331101061238,0.1032194209618288,0.0,,,,,,
d1_a,d1,a,native,all5,precision,p10,complete,88.65191248,21.277083894345758,10.178886883242107,0.21553474252872606,0.5723331101061238,0.12518846689976848,0.0,,,,,,
d1_a,d1,a,native,all5,precision,p11,complete,88.65191248,9.064345155108704,7.86094432614792,0.21553474252872606,0.5723331101061238,0.013574448596721205,0.5,,,,,,
d1_a,d1,a,native,all5,precision,p12,complete,88.65191248,5.227892319971141,1.1395668899129732,0.21553474252872606,0.5723331101061238,0.04611660725289486,0.5,,,,,,
d1_a,d1,a,native,all5,recall,p08,complete,88.65191248,21.062099701060887,14.562404632693797,0.23292315844314504,0.5874143308848725,0.07331703159628317,0.0,,,,,,
d1_a,d1,a,native,all5,recall,p09,complete,88.65191248,12.629691897623406,2.7404656682597723,0.23292315844314504,0.5874143308848725,0.11155118883187835,0.0,,,,,,
d1_a,d1,a,native,all5,recall,p10,complete,88.65191248,19.803449111697173,10.273127111882054,0.23292315844314504,0.5874143308848725,0.10750272310216852,0.0,,,,,,
d1_a,d1,a,native,all5,recall,p11,complete,88.65191248,8.985884775672266,7.86094432614792,0.23292315844314504,0.5874143308848725,0.012689409828334329,0.5,,,,,,
d1_a,d1,a,native,all5,recall,p12,complete,88.65191248,5.521703537079398,1.1395668899129732,0.23292315844314504,0.5874143308848725,0.04943081908306311,0.5,,,,,,
d1_a,d1,a,native,all5,f1,p08,complete,88.65191248,21.191717290920025,14.534069768263535,0.22855884912739632,0.589269231230461,0.0750987467321527,0.0,,,,,,
d1_a,d1,a,native,all5,f1,p09,complete,88.65191248,12.488149579433296,2.6517853866655257,0.22855884912739632,0.589269231230461,0.11095490122660205,0.0,,,,,,
d1_a,d1,a,native,all5,f1,p10,complete,88.65191248,20.30277612556123,10.225701794810325,0.22855884912739632,0.589269231230461,0.11367012903443346,0.0,,,,,,
d1_a,d1,a,native,all5,f1,p11,complete,88.65191248,8.947300923035476,7.86094432614792,0.22855884912739632,0.589269231230461,0.012254181173278578,0.5,,,,,,
d1_a,d1,a,native,all5,f1,p12,complete,88.65191248,5.459789471678504,1.1395668899129732,0.22855884912739632,0.589269231230461,0.04873242393659787,0.5,,,,,,
