panel_id,endpoint_id,protocol_id,representation,metric_output_id,group,state,oc,bootstrap_lower,bootstrap_upper,pair_count_per_cluster
d2_5_a,d2_5,a,common_grid,wasserstein_1_cm1,nonaxis_nonaxis,complete,0.8149305555555556,0.7743012152777778,0.8457508680555554,192
d2_5_a,d2_5,a,common_grid,wasserstein_1_cm1,mixed,complete,0.8767361111111112,0.8065386284722221,0.9317730034722221,384
d2_5_a,d2_5,a,common_grid,wasserstein_1_cm1,axis_axis,complete,0.5947916666666667,0.4677018229166667,0.72474609375,64
d2_5_a,d2_5,a,common_grid,is_like_structure_to_noise,nonaxis_nonaxis,complete,0.18020833333333333,0.1568576388888889,0.21242187499999995,192
d2_5_a,d2_5,a,common_grid,is_like_structure_to_noise,mixed,complete,0.5223090277777778,0.4814214409722223,0.5623708767361111,384
d2_5_a,d2_5,a,common_grid,is_like_structure_to_noise,axis_axis,complete,0.5291666666666667,0.4875,0.5679817708333332,64
d2_5_a,d2_5,a,common_grid,precision,nonaxis_nonaxis,complete,0.3276041666666666,0.2897547743055556,0.36857638888888894,192
d2_5_a,d2_5,a,common_grid,precision,mixed,complete,0.3665798611111111,0.33936631944444445,0.40178168402777775,384
d2_5_a,d2_5,a,common_grid,precision,axis_axis,complete,0.5,0.42707682291666665,0.5760611979166665,64
d2_5_a,d2_5,a,common_grid,recall,nonaxis_nonaxis,complete,0.3428819444444444,0.30824218750000004,0.3786545138888888,192
d2_5_a,d2_5,a,common_grid,recall,mixed,complete,0.3732638888888889,0.34787217881944443,0.4056879340277778,384
d2_5_a,d2_5,a,common_grid,recall,axis_axis,complete,0.49947916666666664,0.42785807291666667,0.5755403645833332,64
d2_5_a,d2_5,a,common_grid,f1,nonaxis_nonaxis,complete,0.33645833333333336,0.3008637152777777,0.37379340277777784,192
d2_5_a,d2_5,a,common_grid,f1,mixed,complete,0.3686631944444445,0.3425748697916668,0.40300130208333335,384
d2_5_a,d2_5,a,common_grid,f1,axis_axis,complete,0.4973958333333333,0.42655598958333335,0.5721354166666667,64
d2_5_a,d2_5,a,common_grid,artifact_peak_ratio,nonaxis_nonaxis,complete,0.3276041666666666,0.2897547743055556,0.36857638888888894,192
d2_5_a,d2_5,a,common_grid,artifact_peak_ratio,mixed,complete,0.3665798611111111,0.33936631944444445,0.40178168402777775,384
d2_5_a,d2_5,a,common_grid,artifact_peak_ratio,axis_axis,complete,0.5,0.42707682291666665,0.5760611979166665,64
d2_5_a,d2_5,a,common_grid,missing_peak_ratio,nonaxis_nonaxis,complete,0.3428819444444444,0.30824218750000004,0.3786545138888888,192
d2_5_a,d2_5,a,common_grid,missing_peak_ratio,mixed,complete,0.3732638888888889,0.34787217881944443,0.4056879340277778,384
d2_5_a,d2_5,a,common_grid,missing_peak_ratio,axis_axis,complete,0.49947916666666664,0.42785807291666667,0.5755403645833332,64
d2_5_b,d2_5,b,native,mse,nonaxis_nonaxis,complete,0.6942708333333333,0.674997829861111,0.7120724826388888,192
d2_5_b,d2_5,b,native,mse,mixed,complete,0.90625,0.8272450086805556,0.9677690972222222,384
d2_5_b,d2_5,b,native,mse,axis_axis,complete,0.5,0.5,0.5,64
