panel_id,endpoint_id,protocol_id,metric_output_id,ag,ag_lower,ag_upper,acc_cross,acc_cross_lower,acc_cross_upper,d_ag,d_ag_lower,d_ag_upper,d_ag_raw_p_value,d_ag_adjusted_p_value,d_ag_rank,d_ag_family_size,d_ag_family_id,d_ag_favorable,d_ag_rejected,d_ag_direction,d_ag_state,d_ag_glyph,d_acc,d_acc_lower,d_acc_upper,d_acc_raw_p_value,d_acc_adjusted_p_value,d_acc_rank,d_acc_family_size,d_acc_family_id,d_acc_favorable,d_acc_rejected,d_acc_direction,d_acc_state,d_acc_glyph,panel_state
d5_b,d5,b,missing_peak_ratio,0.05115866900844352,0.04297834352766483,0.06474673404594615,0.5477801486784141,0.540873743805066,0.554179916941997,-0.039892398698685355,-0.052350418716013807,-0.03241726880115025,9.99990000099999e-06,0.00023999760002399976,8,24,d5_protocol_b_full_domain_secondary_24,False,False,adverse,tested,not_rejected,-0.048965216593245375,-0.05466811215124814,-0.04310142483480187,9.99990000099999e-06,0.00023999760002399976,7,24,d5_protocol_b_full_domain_secondary_24,False,False,adverse,tested,not_rejected,complete
d2_5_a,d2_5,a,mse,0.12800776615654616,0.10588549419281168,0.15360560897206416,0.7940885416666668,0.7505201822916666,0.8301302083333334,,,,,,,24,d2_5:a:within_protocol,,,reference,reference_no_contrast,not_rejected,,,,,,,24,d2_5:a:within_protocol,,,reference,reference_no_contrast,not_rejected,complete
d2_5_b,d2_5,b,mse,0.1403274719754123,0.1178287246167197,0.16969051032282645,0.8020312500000001,0.7527330729166665,0.8434928385416668,,,,,,,24,d2_5:b:within_protocol,,,reference,reference_no_contrast,not_rejected,,,,,,,24,d2_5:b:within_protocol,,,reference,reference_no_contrast,not_rejected,complete
d2_5_a,d2_5,a,rmse,0.12881608017260615,0.10641345308733727,0.15342829834019286,0.7946614583333335,0.7507792968750001,0.8306796875000001,-0.0008083140160599911,-0.0016826308615183428,0.0006686763519345711,0.45490545094549056,1.0,21,24,d2_5:a:within_protocol,False,False,adverse,complete,not_rejected,0.0005729166666667007,-0.0006249999999997675,0.0024479166666667718,0.7429025709742902,1.0,23,24,d2_5:a:within_protocol,True,False,favorable,complete,not_rejected,complete
d2_5_b,d2_5,b,rmse,0.1407258377063015,0.11818283055880073,0.1700480888236202,0.8018489583333334,0.7524739583333334,0.8433880208333335,-0.0003983657308892219,-0.002464078570778386,9.17066662904274e-05,0.7423225767742323,1.0,24,24,d2_5:b:within_protocol,False,False,adverse,tested,not_rejected,-0.00018229166666672292,-0.0007552083333334236,0.00044270833333326376,0.6296237037629624,1.0,21,24,d2_5:b:within_protocol,False,False,adverse,tested,not_rejected,complete
d2_5_a,d2_5,a,mae,0.1218275064540057,0.10246910054586873,0.14657144123465815,0.8047395833333333,0.7609361979166668,0.8393268229166668,0.006180259702540464,-0.004278111426384671,0.010786418336540204,0.17994820051799482,1.0,19,24,d2_5:a:within_protocol,True,False,favorable,complete,not_rejected,0.010651041666666528,0.006093098958333127,0.015364583333333126,0.00021999780002199978,0.0021999780002199976,15,24,d2_5:a:within_protocol,True,True,favorable,complete,favorable_rejected,complete
d2_5_b,d2_5,b,mae,0.14397228485996066,0.12205165692681019,0.1742734561901125,0.8015624999999998,0.7529069010416668,0.8426907552083333,-0.0036448128845483763,-0.014446598765712915,-4.6529192596866935e-06,0.13433865661343386,1.0,17,24,d2_5:b:within_protocol,False,False,adverse,tested,not_rejected,-0.0004687500000002398,-0.002579427083333314,0.0018229166666664577,0.7130028699713002,1.0,23,24,d2_5:b:within_protocol,False,False,adverse,tested,not_rejected,complete
d2_5_a,d2_5,a,sam,0.13897726286915224,0.12020528731168956,0.1675385633351073,0.791875,0.7476243489583334,0.8282298177083334,-0.01096949671260608,-0.024883516968528207,-0.0033981681120641514,0.08543914560854392,0.5980740192598074,18,24,d2_5:a:within_protocol,False,False,adverse,complete,not_rejected,-0.002213541666666763,-0.005468750000000025,0.0007558593749999696,0.19462805371946282,1.0,20,24,d2_5:a:within_protocol,False,False,adverse,complete,not_rejected,complete
d2_5_b,d2_5,b,sam,0.13721435681106922,0.11764357502970157,0.17004482767253154,0.8005729166666667,0.7509368489583336,0.8422141927083334,0.0031131151643430666,-0.00889455348725856,0.008892046388427466,0.4953950460495395,1.0,20,24,d2_5:b:within_protocol,True,False,favorable,tested,not_rejected,-0.0014583333333333393,-0.003906901041666773,0.0010156250000000755,0.2881371186288137,1.0,18,24,d2_5:b:within_protocol,False,False,adverse,tested,not_rejected,complete
d2_5_a,d2_5,a,pearson_r,0.12722789620160882,0.10719373424552174,0.15213723162913337,0.7930729166666666,0.7492174479166668,0.8290384114583335,0.00077986995493734,-0.005170685088596261,0.0050144354266471606,0.7587624123758763,1.0,24,24,d2_5:a:within_protocol,True,False,favorable,complete,not_rejected,-0.0010156250000001865,-0.005364583333333237,0.003646484374999894,0.6799432005679943,1.0,22,24,d2_5:a:within_protocol,False,False,adverse,complete,not_rejected,complete
