cell_id,protocol_id,perturbation_id,alpha,metric_output_id,protocol_a_mse_x,metric_x,x_render_value,downstream_harm
d2_5,b,p11,0.8,mse,0.0,0.0,0.0,-0.04513333333333333
d2_5,b,p12,0.05,mse,0.0,0.0,0.0,-0.009466666666666663
d2_5,b,p12,0.1,mse,0.0,0.0,0.0,-0.01459999999999999
d2_5,b,p12,0.2,mse,0.0,0.0,0.0,-0.025399999999999992
d2_5,b,p12,0.3,mse,0.0,0.0,0.0,-0.027666666666666662
d2_5,b,p12,0.4,mse,0.0,0.0,0.0,-0.026600000000000002
d2_5,b,p12,0.5,mse,0.0,0.0,0.0,-0.030266666666666654
d2_5,b,p12,0.65,mse,0.0,0.0,0.0,-0.032933333333333335
d2_5,b,p12,0.8,mse,0.0,0.0,0.0,-0.03546666666666665
d2_10,a,p08,0.05,mse,0.0005233733959361159,0.0005233733959361159,0.0005233733959361159,0.02186666666666665
d2_10,a,p08,0.1,mse,0.0020934935837444634,0.0020934935837444634,0.0020934935837444634,0.07966666666666664
d2_10,a,p08,0.2,mse,0.008373974334977854,0.008373974334977854,0.008373974334977854,0.21306666666666668
d2_10,a,p08,0.3,mse,0.018841442253700165,0.018841442253700165,0.018841442253700165,0.3224
d2_10,a,p08,0.4,mse,0.033495897339911415,0.033495897339911415,0.033495897339911415,0.3953333333333333
d2_10,a,p08,0.5,mse,0.05233733959361157,0.05233733959361157,0.05233733959361157,0.44139999999999996
d2_10,a,p08,0.65,mse,0.08845010391320358,0.08845010391320358,0.08845010391320358,0.48439999999999994
d2_10,a,p08,0.8,mse,0.13398358935964566,0.13398358935964566,0.13398358935964566,0.5155333333333333
d2_10,a,p09,0.05,mse,0.0005238020531641963,0.0005238020531641963,0.0005238020531641963,0.0015333333333333152
d2_10,a,p09,0.1,mse,0.0020952082126567853,0.0020952082126567853,0.0020952082126567853,0.008933333333333333
d2_10,a,p09,0.2,mse,0.008380832850627141,0.008380832850627141,0.008380832850627141,0.03306666666666664
d2_10,a,p09,0.3,mse,0.018856873913911068,0.018856873913911068,0.018856873913911068,0.0713333333333333
d2_10,a,p09,0.4,mse,0.033523331402508565,0.033523331402508565,0.033523331402508565,0.11333333333333334
d2_10,a,p09,0.5,mse,0.05238020531641962,0.05238020531641962,0.05238020531641962,0.15533333333333335
d2_10,a,p09,0.65,mse,0.08852254698474918,0.08852254698474918,0.08852254698474918,0.21413333333333331
d2_10,a,p09,0.8,mse,0.13409332561003426,0.13409332561003426,0.13409332561003426,0.2611333333333333
d2_10,a,p10,0.05,mse,0.0005233733959361159,0.0005233733959361159,0.0005233733959361159,0.03486666666666664
d2_10,a,p10,0.1,mse,0.0020934935837444634,0.0020934935837444634,0.0020934935837444634,0.11706666666666665
d2_10,a,p10,0.2,mse,0.008373974334977854,0.008373974334977854,0.008373974334977854,0.26626666666666665
d2_10,a,p10,0.3,mse,0.018841442253700165,0.018841442253700165,0.018841442253700165,0.35806666666666664
d2_10,a,p10,0.4,mse,0.033495897339911415,0.033495897339911415,0.033495897339911415,0.41779999999999995
d2_10,a,p10,0.5,mse,0.05233733959361157,0.05233733959361157,0.05233733959361157,0.4539999999999999
d2_10,a,p10,0.65,mse,0.08845010391320358,0.08845010391320358,0.08845010391320358,0.4898
d2_10,a,p10,0.8,mse,0.13398358935964566,0.13398358935964566,0.13398358935964566,0.5164
d2_10,a,p11,0.05,mse,0.0,0.0,0.0,-0.004000000000000021
d2_10,a,p11,0.1,mse,0.0,0.0,0.0,-0.006866666666666694
d2_10,a,p11,0.2,mse,0.0,0.0,0.0,-0.0006666666666666812
d2_10,a,p11,0.3,mse,0.0,0.0,0.0,0.012599999999999978
d2_10,a,p11,0.4,mse,0.0,0.0,0.0,0.026066666666666616
d2_10,a,p11,0.5,mse,0.0,0.0,0.0,0.0313333333333333
d2_10,a,p11,0.65,mse,0.0,0.0,0.0,0.05939999999999999
d2_10,a,p11,0.8,mse,0.0,0.0,0.0,0.08333333333333327
d2_10,a,p12,0.05,mse,0.0,0.0,0.0,-0.0010000000000000193
d2_10,a,p12,0.1,mse,0.0,0.0,0.0,-0.0020000000000000334
d2_10,a,p12,0.2,mse,0.0,0.0,0.0,-0.0024000000000000124
d2_10,a,p12,0.3,mse,0.0,0.0,0.0,-0.0012666666666666631
d2_10,a,p12,0.4,mse,0.0,0.0,0.0,0.0010666666666666353
d2_10,a,p12,0.5,mse,0.0,0.0,0.0,0.003999999999999996
d2_10,a,p12,0.65,mse,0.0,0.0,0.0,0.008466666666666645
d2_10,a,p12,0.8,mse,0.0,0.0,0.0,0.016666666666666653
d2_10,b,p08,0.05,mse,0.0005233733959361159,0.0005233733959361159,0.0005233733959361159,0.026066666666666658
d2_10,b,p08,0.1,mse,0.0020934935837444634,0.0020934935837444634,0.0020934935837444634,0.04819999999999998
d2_10,b,p08,0.2,mse,0.008373974334977854,0.008373974334977854,0.008373974334977854,0.06353333333333333
d2_10,b,p08,0.3,mse,0.018841442253700165,0.018841442253700165,0.018841442253700165,0.06793333333333335
d2_10,b,p08,0.4,mse,0.033495897339911415,0.033495897339911415,0.033495897339911415,0.06899999999999998
d2_10,b,p08,0.5,mse,0.05233733959361157,0.05233733959361157,0.05233733959361157,0.06953333333333328
d2_10,b,p08,0.65,mse,0.08845010391320358,0.08845010391320358,0.08845010391320358,0.07099999999999997
d2_10,b,p08,0.8,mse,0.13398358935964566,0.13398358935964566,0.13398358935964566,0.0715333333333333
d2_10,b,p09,0.05,mse,0.0005238020531641963,0.0005238020531641963,0.0005238020531641963,-0.006266666666666687
d2_10,b,p09,0.1,mse,0.0020952082126567853,0.0020952082126567853,0.0020952082126567853,0.007066666666666646
d2_10,b,p09,0.2,mse,0.008380832850627141,0.008380832850627141,0.008380832850627141,0.08339999999999997
d2_10,b,p09,0.3,mse,0.018856873913911068,0.018856873913911068,0.018856873913911068,0.1805333333333333
d2_10,b,p09,0.4,mse,0.033523331402508565,0.033523331402508565,0.033523331402508565,0.26526666666666665
d2_10,b,p09,0.5,mse,0.05238020531641962,0.05238020531641962,0.05238020531641962,0.3237333333333334
d2_10,b,p09,0.65,mse,0.08852254698474918,0.08852254698474918,0.08852254698474918,0.3791333333333332
d2_10,b,p09,0.8,mse,0.13409332561003426,0.13409332561003426,0.13409332561003426,0.42386666666666656
d2_10,b,p10,0.05,mse,0.0005233733959361159,0.0005233733959361159,0.0005233733959361159,0.04793333333333331
d2_10,b,p10,0.1,mse,0.0020934935837444634,0.0020934935837444634,0.0020934935837444634,0.17579999999999993
d2_10,b,p10,0.2,mse,0.008373974334977854,0.008373974334977854,0.008373974334977854,0.3566666666666667
d2_10,b,p10,0.3,mse,0.018841442253700165,0.018841442253700165,0.018841442253700165,0.4406666666666667
d2_10,b,p10,0.4,mse,0.033495897339911415,0.033495897339911415,0.033495897339911415,0.4798666666666666
d2_10,b,p10,0.5,mse,0.05233733959361157,0.05233733959361157,0.05233733959361157,0.5064666666666666
d2_10,b,p10,0.65,mse,0.08845010391320358,0.08845010391320358,0.08845010391320358,0.5290666666666667
d2_10,b,p10,0.8,mse,0.13398358935964566,0.13398358935964566,0.13398358935964566,0.5476666666666666
d2_10,b,p11,0.05,mse,0.0,0.0,0.0,-0.03146666666666669
d2_10,b,p11,0.1,mse,0.0,0.0,0.0,-0.04013333333333334
d2_10,b,p11,0.2,mse,0.0,0.0,0.0,-0.04666666666666668
d2_10,b,p11,0.3,mse,0.0,0.0,0.0,-0.03553333333333334
d2_10,b,p11,0.4,mse,0.0,0.0,0.0,-0.024266666666666662
d2_10,b,p11,0.5,mse,0.0,0.0,0.0,-0.04800000000000003
d2_10,b,p11,0.65,mse,0.0,0.0,0.0,-0.037066666666666685
d2_10,b,p11,0.8,mse,0.0,0.0,0.0,-0.03580000000000001
d2_10,b,p12,0.05,mse,0.0,0.0,0.0,-0.00793333333333334
d2_10,b,p12,0.1,mse,0.0,0.0,0.0,-0.012400000000000015
d2_10,b,p12,0.2,mse,0.0,0.0,0.0,-0.019000000000000003
d2_10,b,p12,0.3,mse,0.0,0.0,0.0,-0.022933333333333347
d2_10,b,p12,0.4,mse,0.0,0.0,0.0,-0.02686666666666668
d2_10,b,p12,0.5,mse,0.0,0.0,0.0,-0.02600000000000002
d2_10,b,p12,0.65,mse,0.0,0.0,0.0,-0.027066666666666694
d2_10,b,p12,0.8,mse,0.0,0.0,0.0,-0.03020000000000002
d2_20,a,p08,0.05,mse,0.0005233733959361159,0.0005233733959361159,0.0005233733959361159,0.027666666666666683
d2_20,a,p08,0.1,mse,0.0020934935837444634,0.0020934935837444634,0.0020934935837444634,0.0918666666666667
d2_20,a,p08,0.2,mse,0.008373974334977854,0.008373974334977854,0.008373974334977854,0.2532
d2_20,a,p08,0.3,mse,0.018841442253700165,0.018841442253700165,0.018841442253700165,0.3737333333333333
d2_20,a,p08,0.4,mse,0.033495897339911415,0.033495897339911415,0.033495897339911415,0.44800000000000006
d2_20,a,p08,0.5,mse,0.05233733959361157,0.05233733959361157,0.05233733959361157,0.49139999999999995
d2_20,a,p08,0.65,mse,0.08845010391320358,0.08845010391320358,0.08845010391320358,0.534
d2_20,a,p08,0.8,mse,0.13398358935964566,0.13398358935964566,0.13398358935964566,0.5643333333333334
d2_20,a,p09,0.05,mse,0.0005238020531641963,0.0005238020531641963,0.0005238020531641963,0.0004000000000000096
d2_20,a,p09,0.1,mse,0.0020952082126567853,0.0020952082126567853,0.0020952082126567853,0.00793333333333334
d2_20,a,p09,0.2,mse,0.008380832850627141,0.008380832850627141,0.008380832850627141,0.035933333333333345
d2_20,a,p09,0.3,mse,0.018856873913911068,0.018856873913911068,0.018856873913911068,0.07646666666666667
d2_20,a,p09,0.4,mse,0.033523331402508565,0.033523331402508565,0.033523331402508565,0.11853333333333337
d2_20,a,p09,0.5,mse,0.05238020531641962,0.05238020531641962,0.05238020531641962,0.16793333333333338
d2_20,a,p09,0.65,mse,0.08852254698474918,0.08852254698474918,0.08852254698474918,0.2326666666666667
d2_20,a,p09,0.8,mse,0.13409332561003426,0.13409332561003426,0.13409332561003426,0.2868666666666667
d2_20,a,p10,0.05,mse,0.0005233733959361159,0.0005233733959361159,0.0005233733959361159,0.04120000000000001
d2_20,a,p10,0.1,mse,0.0020934935837444634,0.0020934935837444634,0.0020934935837444634,0.14113333333333333
d2_20,a,p10,0.2,mse,0.008373974334977854,0.008373974334977854,0.008373974334977854,0.31239999999999996
d2_20,a,p10,0.3,mse,0.018841442253700165,0.018841442253700165,0.018841442253700165,0.4132
d2_20,a,p10,0.4,mse,0.033495897339911415,0.033495897339911415,0.033495897339911415,0.47346666666666665
d2_20,a,p10,0.5,mse,0.05233733959361157,0.05233733959361157,0.05233733959361157,0.5111333333333333
d2_20,a,p10,0.65,mse,0.08845010391320358,0.08845010391320358,0.08845010391320358,0.5494666666666667
d2_20,a,p10,0.8,mse,0.13398358935964566,0.13398358935964566,0.13398358935964566,0.5728000000000001
d2_20,a,p11,0.05,mse,0.0,0.0,0.0,-0.002333333333333317
d2_20,a,p11,0.1,mse,0.0,0.0,0.0,-0.0015333333333333089
d2_20,a,p11,0.2,mse,0.0,0.0,0.0,0.005133333333333356
d2_20,a,p11,0.3,mse,0.0,0.0,0.0,0.020733333333333364
d2_20,a,p11,0.4,mse,0.0,0.0,0.0,0.03780000000000002
d2_20,a,p11,0.5,mse,0.0,0.0,0.0,0.050133333333333356
d2_20,a,p11,0.65,mse,0.0,0.0,0.0,0.08113333333333335
d2_20,a,p11,0.8,mse,0.0,0.0,0.0,0.1124
d2_20,a,p12,0.05,mse,0.0,0.0,0.0,-0.0009999999999999879
d2_20,a,p12,0.1,mse,0.0,0.0,0.0,-0.0011999999999999732
d2_20,a,p12,0.2,mse,0.0,0.0,0.0,-0.0008666666666666563
d2_20,a,p12,0.3,mse,0.0,0.0,0.0,0.0001333333333333316
d2_20,a,p12,0.4,mse,0.0,0.0,0.0,0.0036666666666666766
d2_20,a,p12,0.5,mse,0.0,0.0,0.0,0.006933333333333344
d2_20,a,p12,0.65,mse,0.0,0.0,0.0,0.014600000000000005
d2_20,a,p12,0.8,mse,0.0,0.0,0.0,0.021466666666666676
d2_20,b,p08,0.05,mse,0.0005233733959361159,0.0005233733959361159,0.0005233733959361159,0.016333333333333342
d2_20,b,p08,0.1,mse,0.0020934935837444634,0.0020934935837444634,0.0020934935837444634,0.02513333333333335
d2_20,b,p08,0.2,mse,0.008373974334977854,0.008373974334977854,0.008373974334977854,0.025666666666666702
d2_20,b,p08,0.3,mse,0.018841442253700165,0.018841442253700165,0.018841442253700165,0.024800000000000023
d2_20,b,p08,0.4,mse,0.033495897339911415,0.033495897339911415,0.033495897339911415,0.025000000000000026
d2_20,b,p08,0.5,mse,0.05233733959361157,0.05233733959361157,0.05233733959361157,0.024666666666666687
d2_20,b,p08,0.65,mse,0.08845010391320358,0.08845010391320358,0.08845010391320358,0.02506666666666667
d2_20,b,p08,0.8,mse,0.13398358935964566,0.13398358935964566,0.13398358935964566,0.024733333333333336
d2_20,b,p09,0.05,mse,0.0005238020531641963,0.0005238020531641963,0.0005238020531641963,-0.0010666666666666524
d2_20,b,p09,0.1,mse,0.0020952082126567853,0.0020952082126567853,0.0020952082126567853,0.019666666666666697
d2_20,b,p09,0.2,mse,0.008380832850627141,0.008380832850627141,0.008380832850627141,0.06853333333333336
d2_20,b,p09,0.3,mse,0.018856873913911068,0.018856873913911068,0.018856873913911068,0.14606666666666668
d2_20,b,p09,0.4,mse,0.033523331402508565,0.033523331402508565,0.033523331402508565,0.24020000000000002
d2_20,b,p09,0.5,mse,0.05238020531641962,0.05238020531641962,0.05238020531641962,0.3211333333333333
